Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
correlation,LR,56.75,56.07,57.63,56.73,54.29
correlation,SVM,61.83,60.6,62.62,61.63,57.14
correlation,KNN,57.92,56.49,60.62,57.34,48.57
correlation,DT,65.58,64.88,65.85,65.81,68.57
correlation,RF,63.0,62.07,63.29,62.42,54.29
correlation,LDA,54.08,51.76,55.61,53.33,40.0
Average best distance,LR,56.58,55.54,56.93,55.95,48.57
Average best distance,SVM,56.5,56.38,57.3,57.16,65.71
Average best distance,KNN,59.08,58.31,61.36,59.84,68.57
Average best distance,DT,61.67,58.77,63.97,60.54,48.57
Average best distance,RF,57.83,57.63,58.15,58.06,60.0
Average best distance,LDA,56.58,52.51,56.03,54.6,31.43
Average mean distance,LR,56.67,54.73,57.31,55.56,40.0
Average mean distance,SVM,61.83,60.34,64.12,62.16,65.71
Average mean distance,KNN,61.83,60.38,61.15,61.63,57.14
Average mean distance,DT,63.17,62.25,66.42,63.77,71.43
Average mean distance,RF,61.92,59.45,65.81,61.45,54.29
Average mean distance,LDA,57.83,54.6,58.14,56.03,34.29
Average generation,LR,60.42,60.15,60.71,60.6,62.86
Average generation,SVM,59.08,58.9,59.35,59.35,62.86
Average generation,KNN,60.75,60.62,60.97,60.87,62.86
Average generation,DT,52.67,51.94,53.46,53.51,62.86
Average generation,RF,59.08,58.85,59.21,59.17,60.0
Average generation,LDA,55.25,53.03,55.15,54.03,40.0
