Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
dissimilarity,LR,54.08,52.38,54.04,54.01,48.57
dissimilarity,SVM,51.33,49.82,52.27,51.69,51.43
dissimilarity,KNN,56.58,54.79,57.36,55.73,42.86
dissimilarity,DT,59.25,57.37,61.54,59.23,54.29
dissimilarity,RF,52.42,50.05,52.88,52.12,42.86
dissimilarity,LDA,52.75,48.83,53.69,52.04,37.14
Average best distance,LR,61.83,59.46,67.33,61.9,57.14
Average best distance,SVM,59.25,58.17,60.31,59.09,54.29
Average best distance,KNN,58.08,56.84,58.31,57.34,48.57
Average best distance,DT,51.33,49.61,50.37,50.95,48.57
Average best distance,RF,54.08,51.32,52.51,52.56,34.29
Average best distance,LDA,61.92,58.66,67.98,60.56,40.0
Average mean distance,LR,55.33,52.89,57.05,55.65,57.14
Average mean distance,SVM,54.0,52.39,55.49,54.27,57.14
Average mean distance,KNN,52.5,52.07,52.54,52.52,51.43
Average mean distance,DT,53.92,52.36,54.68,55.16,71.43
Average mean distance,RF,51.25,49.65,51.23,52.12,62.86
Average mean distance,LDA,51.25,33.84,26.29,47.5,0.0
Average generation,LR,64.42,63.81,64.94,64.03,60.0
Average generation,SVM,61.75,61.29,62.42,62.02,65.71
Average generation,KNN,59.25,59.13,60.12,59.98,68.57
Average generation,DT,59.25,58.89,59.58,59.27,57.14
Average generation,RF,60.58,59.86,63.29,61.9,77.14
Average generation,LDA,55.25,53.03,55.15,54.03,40.0
