Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
homogeneity,LR,63.08,50.25,51.02,50.33,26.67
homogeneity,SVM,81.54,67.42,81.36,64.67,33.33
homogeneity,KNN,80.0,71.1,77.24,70.67,53.33
homogeneity,DT,76.92,68.27,68.68,68.67,53.33
homogeneity,RF,81.54,73.69,77.44,74.0,60.0
homogeneity,LDA,69.23,51.04,50.62,52.0,20.0
Average best distance,LR,58.46,52.21,55.27,56.67,53.33
Average best distance,SVM,76.92,60.94,70.3,59.33,26.67
Average best distance,KNN,66.15,52.15,53.41,52.33,26.67
Average best distance,DT,63.08,56.74,60.13,59.67,53.33
Average best distance,RF,64.62,59.36,62.03,63.0,60.0
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,63.08,57.53,58.87,62.0,60.0
Average mean distance,SVM,61.54,56.26,58.03,61.0,60.0
Average mean distance,KNN,70.77,66.27,66.79,71.67,73.33
Average mean distance,DT,70.77,60.49,59.92,62.33,46.67
Average mean distance,RF,67.69,58.1,58.56,58.0,40.0
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,49.23,44.1,48.38,48.33,46.67
Average generation,SVM,72.31,60.59,61.78,61.0,40.0
Average generation,KNN,78.46,58.64,70.0,58.0,20.0
Average generation,DT,78.46,60.5,65.57,60.33,26.67
Average generation,RF,67.69,52.72,53.64,53.33,26.67
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
