Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
correlation,LR,70.77,56.76,56.53,62.33,46.67
correlation,SVM,69.23,57.16,57.58,59.0,40.0
correlation,KNN,75.38,58.51,58.37,60.67,33.33
correlation,DT,75.38,64.19,66.63,65.33,46.67
correlation,RF,64.62,50.92,51.26,56.0,40.0
correlation,LDA,72.31,54.79,53.23,58.67,33.33
Average best distance,LR,47.69,45.96,53.19,54.33,66.67
Average best distance,SVM,55.38,52.04,57.79,59.33,66.67
Average best distance,KNN,76.92,43.48,38.46,50.0,0.0
Average best distance,DT,63.08,59.02,61.35,64.33,66.67
Average best distance,RF,69.23,61.03,63.35,63.67,53.33
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,50.77,46.7,51.25,51.67,53.33
Average mean distance,SVM,49.23,48.0,61.0,62.33,86.67
Average mean distance,KNN,73.85,65.38,65.77,66.67,53.33
Average mean distance,DT,69.23,59.38,58.79,63.67,53.33
Average mean distance,RF,69.23,56.4,55.67,59.0,40.0
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,49.23,46.5,54.29,55.33,66.67
Average generation,SVM,52.31,50.56,57.13,59.67,73.33
Average generation,KNN,76.92,55.39,58.23,57.0,20.0
Average generation,DT,61.54,54.79,57.9,58.67,53.33
Average generation,RF,66.15,53.83,55.27,57.0,40.0
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
