Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,63.08,61.13,63.83,63.14,66.0
contrast,SVM,66.15,65.42,67.71,69.03,80.0
contrast,KNN,61.54,59.49,60.12,59.92,54.0
contrast,DT,69.23,66.8,67.2,66.78,58.0
contrast,RF,66.15,63.65,64.29,63.92,57.0
contrast,LDA,64.62,56.5,67.92,57.75,33.0
Average best distance,LR,58.46,57.05,58.75,57.94,57.0
Average best distance,SVM,63.08,60.51,62.69,60.19,49.0
Average best distance,KNN,64.62,62.44,62.65,63.17,58.0
Average best distance,DT,63.08,60.75,61.31,60.81,53.0
Average best distance,RF,56.92,53.87,55.47,55.53,53.0
Average best distance,LDA,61.54,38.1,31.28,48.89,0.0
Average mean distance,LR,55.38,53.82,54.6,54.92,54.0
Average mean distance,SVM,66.15,64.14,66.14,65.17,62.0
Average mean distance,KNN,63.08,59.26,60.28,60.28,50.0
Average mean distance,DT,67.69,65.11,66.63,65.67,58.0
Average mean distance,RF,69.23,66.95,67.79,67.67,62.0
Average mean distance,LDA,66.15,47.53,49.56,54.75,12.0
Average generation,LR,53.85,49.89,49.8,52.17,46.0
Average generation,SVM,67.69,54.99,54.6,59.14,28.0
Average generation,KNN,60.0,56.35,56.48,56.53,45.0
Average generation,DT,63.08,59.02,63.24,61.14,57.0
Average generation,RF,64.62,60.65,61.63,61.03,49.0
Average generation,LDA,63.08,38.66,31.54,50.0,0.0
