Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,56.67,55.8,56.63,56.41,51.43
contrast,SVM,54.0,48.41,56.85,52.16,25.71
contrast,KNN,52.67,50.35,58.67,54.68,77.14
contrast,DT,58.08,57.78,58.13,58.02,57.14
contrast,RF,52.5,50.29,56.34,52.44,45.71
contrast,LDA,56.67,55.78,57.1,56.23,48.57
Average best distance,LR,60.58,58.68,63.38,60.02,51.43
Average best distance,SVM,60.75,58.48,62.7,59.48,42.86
Average best distance,KNN,60.75,58.48,62.7,59.48,42.86
Average best distance,DT,58.08,57.01,58.47,57.52,51.43
Average best distance,RF,63.08,62.19,65.97,63.55,65.71
Average best distance,LDA,56.75,51.67,63.26,54.84,28.57
Average mean distance,LR,51.5,50.15,51.25,51.63,57.14
Average mean distance,SVM,64.67,63.3,65.99,64.27,57.14
Average mean distance,KNN,69.83,69.46,71.06,69.66,65.71
Average mean distance,DT,64.58,63.98,65.37,64.48,62.86
Average mean distance,RF,63.33,62.6,63.96,63.06,60.0
Average mean distance,LDA,53.92,35.03,26.96,50.0,0.0
Average generation,LR,64.5,62.81,67.27,64.27,57.14
Average generation,SVM,60.75,59.09,63.05,59.84,48.57
Average generation,KNN,56.75,55.35,56.55,55.91,45.71
Average generation,DT,56.67,55.55,57.42,56.41,51.43
Average generation,RF,64.42,63.49,67.22,64.8,65.71
Average generation,LDA,59.42,56.54,62.19,58.06,40.0
