Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,66.15,59.91,62.67,64.0,60.0
contrast,SVM,78.46,69.25,70.45,69.67,53.33
contrast,KNN,84.62,71.64,76.45,71.33,46.67
contrast,DT,73.85,62.37,63.64,62.0,40.0
contrast,RF,81.54,68.26,71.25,69.33,46.67
contrast,LDA,67.69,52.72,53.64,53.33,26.67
Average best distance,LR,61.54,52.97,53.81,54.0,40.0
Average best distance,SVM,70.77,60.74,61.07,62.33,46.67
Average best distance,KNN,78.46,64.11,73.54,62.67,33.33
Average best distance,DT,69.23,62.69,62.42,66.0,60.0
Average best distance,RF,66.15,60.84,62.63,66.33,66.67
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,55.38,50.34,53.71,54.67,53.33
Average mean distance,SVM,52.31,49.6,58.38,59.67,73.33
Average mean distance,KNN,78.46,59.21,62.37,60.33,26.67
Average mean distance,DT,67.69,59.46,59.64,62.67,53.33
Average mean distance,RF,66.15,53.54,53.05,54.67,33.33
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,56.92,51.1,54.22,55.67,53.33
Average generation,SVM,73.85,66.56,70.47,69.0,60.0
Average generation,KNN,76.92,63.14,69.21,61.67,33.33
Average generation,DT,72.31,62.28,63.28,63.33,46.67
Average generation,RF,70.77,63.77,64.48,67.0,60.0
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
