Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
dissimilarity,LR,69.23,66.94,75.14,70.42,75.0
dissimilarity,SVM,75.38,72.81,74.12,72.39,62.0
dissimilarity,KNN,67.69,65.22,66.35,65.31,57.0
dissimilarity,DT,73.85,72.03,72.58,72.78,70.0
dissimilarity,RF,73.85,70.59,71.69,70.78,61.0
dissimilarity,LDA,60.0,52.93,59.4,54.0,33.0
Average best distance,LR,58.46,52.37,52.9,56.0,52.0
Average best distance,SVM,56.92,53.79,58.0,53.97,41.0
Average best distance,KNN,61.54,56.36,59.77,56.28,37.0
Average best distance,DT,58.46,55.37,56.45,55.56,45.0
Average best distance,RF,52.31,50.62,51.35,51.31,49.0
Average best distance,LDA,61.54,38.1,31.28,48.89,0.0
Average mean distance,LR,56.92,55.69,56.49,56.92,58.0
Average mean distance,SVM,58.46,54.59,54.95,55.78,46.0
Average mean distance,KNN,67.69,60.61,64.47,61.14,37.0
Average mean distance,DT,66.15,61.0,64.44,60.64,41.0
Average mean distance,RF,64.62,60.36,63.2,60.28,45.0
Average mean distance,LDA,61.54,38.04,31.22,48.75,0.0
Average generation,LR,58.46,57.17,58.68,58.92,62.0
Average generation,SVM,66.15,61.61,65.61,62.28,49.0
Average generation,KNN,61.54,58.28,60.42,58.89,50.0
Average generation,DT,69.23,65.52,68.95,65.14,50.0
Average generation,RF,63.08,59.68,62.19,60.14,50.0
Average generation,LDA,63.08,38.66,31.54,50.0,0.0
dissimilarity,LR,69.23,66.94,75.14,70.42,75.0
dissimilarity,SVM,75.38,72.81,74.12,72.39,62.0
dissimilarity,KNN,67.69,65.22,66.35,65.31,57.0
