Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
correlation,LR,56.75,56.07,57.63,56.73,54.29
correlation,SVM,61.83,60.6,62.62,61.63,57.14
correlation,KNN,57.92,56.49,60.62,57.34,48.57
correlation,DT,65.58,64.88,65.85,65.81,68.57
correlation,RF,63.0,62.07,63.29,62.42,54.29
correlation,LDA,54.08,51.76,55.61,53.33,40.0
Average best distance,LR,58.0,54.09,62.79,56.77,37.14
Average best distance,SVM,58.92,58.3,58.98,58.71,57.14
Average best distance,KNN,60.5,59.66,61.79,61.05,65.71
Average best distance,DT,64.25,63.79,65.36,64.74,71.43
Average best distance,RF,63.0,62.8,63.47,63.27,65.71
Average best distance,LDA,56.58,52.79,56.92,54.78,34.29
Average mean distance,LR,56.58,55.67,58.49,57.08,60.0
Average mean distance,SVM,59.33,59.07,59.9,59.62,62.86
Average mean distance,KNN,67.08,66.7,67.54,67.2,68.57
Average mean distance,DT,69.75,69.44,70.73,70.06,74.29
Average mean distance,RF,68.42,68.13,69.48,68.81,74.29
Average mean distance,LDA,56.5,53.67,57.76,54.96,37.14
Average generation,LR,53.92,53.11,54.1,54.17,60.0
Average generation,SVM,60.58,59.21,65.77,62.44,85.71
Average generation,KNN,66.0,64.83,66.85,65.42,60.0
Average generation,DT,64.58,64.37,65.0,64.8,65.71
Average generation,RF,61.83,61.02,62.05,61.53,60.0
Average generation,LDA,51.33,48.21,50.1,49.74,31.43
