Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,66.15,59.91,62.67,64.0,60.0
contrast,SVM,78.46,69.25,70.45,69.67,53.33
contrast,KNN,84.62,71.64,76.45,71.33,46.67
contrast,DT,73.85,62.37,63.64,62.0,40.0
contrast,RF,81.54,68.26,71.25,69.33,46.67
contrast,LDA,67.69,52.72,53.64,53.33,26.67
Average best distance,LR,60.0,48.05,46.85,55.33,46.67
Average best distance,SVM,73.85,64.09,68.36,64.33,46.67
Average best distance,KNN,70.77,57.12,57.8,57.67,33.33
Average best distance,DT,70.77,60.76,62.35,62.33,46.67
Average best distance,RF,72.31,58.94,62.88,58.67,33.33
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,60.0,56.26,59.33,62.33,66.67
Average mean distance,SVM,70.77,64.06,64.4,67.0,60.0
Average mean distance,KNN,78.46,69.24,73.82,69.67,53.33
Average mean distance,DT,72.31,64.32,65.44,68.0,60.0
Average mean distance,RF,72.31,65.07,69.47,68.0,60.0
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,64.62,53.28,54.18,58.33,46.67
Average generation,SVM,80.0,70.6,74.96,70.67,53.33
Average generation,KNN,84.62,73.94,84.61,71.33,46.67
Average generation,DT,83.08,73.99,80.16,72.67,53.33
Average generation,RF,83.08,73.99,80.16,72.67,53.33
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
