classifier,classification_type,feature,max_ROI,gentl_result_param,accuracy,f1_score,precision,sensitivity,specificity
svm,cancer_invasion,dissimilarity,10,,75.38,72.81,74.12,72.39,62.0
svm,cancer_stage,dissimilarity,10,,30.99,17.92,16.74,19.82,85.61
svm,early_vs_late_stage,dissimilarity,10,,72.31,68.2,70.34,75.0,80.0
svm,ptc_vs_mibc,dissimilarity,10,,51.33,49.82,52.27,51.69,51.43
svm,cancer_invasion,dissimilarity,10,average_best_absolute_distance_results,56.92,56.63,59.47,60.17,72.0
svm,cancer_stage,dissimilarity,10,average_best_absolute_distance_results,28.05,14.64,14.48,21.48,87.53
svm,early_vs_late_stage,dissimilarity,10,average_best_absolute_distance_results,73.85,68.42,71.23,71.33,66.67
svm,ptc_vs_mibc,dissimilarity,10,average_best_absolute_distance_results,65.83,65.49,67.49,66.77,77.14
svm,cancer_invasion,dissimilarity,10,average_generation_absolute_distance_results,58.46,56.96,59.52,59.06,62.0
svm,cancer_stage,dissimilarity,10,average_generation_absolute_distance_results,24.96,14.2,12.6,18.07,86.61
svm,early_vs_late_stage,dissimilarity,10,average_generation_absolute_distance_results,66.15,61.34,65.99,68.67,73.33
svm,ptc_vs_mibc,dissimilarity,10,average_generation_absolute_distance_results,69.75,69.36,70.12,69.52,65.71
svm,cancer_invasion,dissimilarity,10,average_mean_absolute_distance_results,67.69,65.17,67.27,66.78,63.0
svm,cancer_stage,dissimilarity,10,average_mean_absolute_distance_results,23.95,16.14,19.13,17.01,88.55
svm,early_vs_late_stage,dissimilarity,10,average_mean_absolute_distance_results,76.92,69.83,72.89,73.33,66.67
svm,ptc_vs_mibc,dissimilarity,10,average_mean_absolute_distance_results,64.58,64.29,65.0,64.48,62.86
svm,cancer_invasion,dissimilarity,20,,75.38,72.81,74.12,72.39,62.0
svm,cancer_stage,dissimilarity,20,,30.99,17.92,16.74,19.82,85.61
svm,early_vs_late_stage,dissimilarity,20,,72.31,68.2,70.34,75.0,80.0
svm,ptc_vs_mibc,dissimilarity,20,,51.33,49.82,52.27,51.69,51.43
svm,cancer_invasion,dissimilarity,20,average_best_absolute_distance_results,60.0,49.98,51.5,52.89,28.0
svm,cancer_stage,dissimilarity,20,average_best_absolute_distance_results,23.92,18.03,19.06,21.45,85.99
