Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
dissimilarity,LR,23.02,18.46,19.92,19.39,88.28
dissimilarity,SVM,30.99,17.92,16.74,19.82,85.61
dissimilarity,KNN,35.92,20.26,19.4,22.72,85.32
dissimilarity,DT,28.05,19.91,20.08,21.74,86.38
dissimilarity,RF,30.9,18.11,16.48,20.98,85.42
dissimilarity,LDA,33.07,14.41,12.86,17.35,84.4
Average best distance,LR,17.88,14.15,15.88,20.24,86.89
Average best distance,SVM,28.05,14.64,14.48,21.48,87.53
Average best distance,KNN,40.08,14.74,14.16,19.05,85.69
Average best distance,DT,27.9,14.19,12.8,18.24,86.12
Average best distance,RF,24.0,15.3,17.5,16.09,85.87
Average best distance,LDA,34.02,8.39,6.06,14.29,83.47
Average mean distance,LR,18.87,15.64,21.15,21.3,86.52
Average mean distance,SVM,23.95,16.14,19.13,17.01,88.55
Average mean distance,KNN,40.02,18.58,17.23,21.28,86.01
Average mean distance,DT,28.97,22.29,23.2,24.11,86.31
Average mean distance,RF,28.88,25.12,28.13,26.26,87.25
Average mean distance,LDA,33.99,8.94,6.55,14.65,83.58
Average generation,LR,27.93,13.54,13.71,16.56,86.25
Average generation,SVM,24.96,14.2,12.6,18.07,86.61
Average generation,KNN,29.03,15.43,15.42,15.85,85.08
Average generation,DT,29.0,18.92,20.67,18.67,87.27
Average generation,RF,27.01,15.6,17.41,15.73,86.83
Average generation,LDA,39.04,12.82,10.76,17.42,85.05
