Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
dissimilarity,LR,69.23,66.94,75.14,70.42,75.0
dissimilarity,SVM,75.38,72.81,74.12,72.39,62.0
dissimilarity,KNN,67.69,65.22,66.35,65.31,57.0
dissimilarity,DT,73.85,72.03,72.58,72.78,70.0
dissimilarity,RF,73.85,70.59,71.69,70.78,61.0
dissimilarity,LDA,60.0,52.93,59.4,54.0,33.0
Average best distance,LR,49.23,48.3,52.83,51.19,61.0
Average best distance,SVM,61.54,57.28,59.39,57.31,41.0
Average best distance,KNN,61.54,61.09,63.92,63.94,74.0
Average best distance,DT,63.08,60.93,61.59,61.78,58.0
Average best distance,RF,64.62,63.34,64.05,64.67,66.0
Average best distance,LDA,63.08,38.66,31.54,50.0,0.0
Average mean distance,LR,55.38,54.41,56.62,56.56,62.0
Average mean distance,SVM,64.62,59.09,58.61,61.53,50.0
Average mean distance,KNN,70.77,62.74,69.18,63.5,37.0
Average mean distance,DT,67.69,62.51,66.99,62.25,42.0
Average mean distance,RF,63.08,58.53,58.97,60.92,51.0
Average mean distance,LDA,61.54,38.04,31.22,48.75,0.0
Average generation,LR,52.31,51.49,53.61,53.44,58.0
Average generation,SVM,64.62,62.46,62.72,63.03,58.0
Average generation,KNN,67.69,62.4,62.29,63.28,46.0
Average generation,DT,67.69,65.22,65.99,65.67,58.0
Average generation,RF,61.54,57.76,59.05,59.78,54.0
Average generation,LDA,63.08,38.66,31.54,50.0,0.0
