Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
dissimilarity,LR,69.23,66.94,75.14,70.42,75.0
dissimilarity,SVM,75.38,72.81,74.12,72.39,62.0
dissimilarity,KNN,67.69,65.22,66.35,65.31,57.0
dissimilarity,DT,73.85,72.03,72.58,72.78,70.0
dissimilarity,RF,73.85,70.59,71.69,70.78,61.0
dissimilarity,LDA,60.0,52.93,59.4,54.0,33.0
Average best distance,LR,52.31,51.29,53.36,53.31,58.0
Average best distance,SVM,56.92,56.63,59.47,60.17,72.0
Average best distance,KNN,61.54,60.02,62.38,63.31,68.0
Average best distance,DT,64.62,57.72,58.23,58.78,37.0
Average best distance,RF,60.0,57.96,59.4,59.42,58.0
Average best distance,LDA,63.08,38.66,31.54,50.0,0.0
Average mean distance,LR,55.38,53.82,55.98,55.81,58.0
Average mean distance,SVM,67.69,65.17,67.27,66.78,63.0
Average mean distance,KNN,72.31,68.98,70.8,69.14,58.0
Average mean distance,DT,75.38,71.71,73.99,71.64,58.0
Average mean distance,RF,73.85,70.44,71.99,70.39,58.0
Average mean distance,LDA,63.08,38.66,31.54,50.0,0.0
Average generation,LR,47.69,45.6,46.36,46.42,42.0
Average generation,SVM,58.46,56.96,59.52,59.06,62.0
Average generation,KNN,61.54,56.26,57.72,56.78,38.0
Average generation,DT,61.54,58.87,62.06,60.67,58.0
Average generation,RF,61.54,59.0,61.25,60.67,58.0
Average generation,LDA,63.08,38.66,31.54,50.0,0.0
