Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
dissimilarity,LR,69.23,66.94,75.14,70.42,75.0
dissimilarity,SVM,75.38,72.81,74.12,72.39,62.0
dissimilarity,KNN,67.69,65.22,66.35,65.31,57.0
dissimilarity,DT,73.85,72.03,72.58,72.78,70.0
dissimilarity,RF,73.85,70.59,71.69,70.78,61.0
dissimilarity,LDA,60.0,52.93,59.4,54.0,33.0
Average best distance,LR,41.54,39.73,41.16,40.72,37.0
Average best distance,SVM,60.0,49.98,51.5,52.89,28.0
Average best distance,KNN,58.46,50.02,50.87,51.78,28.0
Average best distance,DT,53.85,52.2,52.78,52.78,50.0
Average best distance,RF,56.92,52.21,55.7,55.78,56.0
Average best distance,LDA,63.08,38.66,31.54,50.0,0.0
Average mean distance,LR,60.0,57.77,60.21,59.42,58.0
Average mean distance,SVM,56.92,55.2,56.94,56.92,58.0
Average mean distance,KNN,69.23,57.05,59.04,60.39,28.0
Average mean distance,DT,66.15,62.51,64.15,62.89,53.0
Average mean distance,RF,69.23,57.81,57.31,61.75,36.0
Average mean distance,LDA,63.08,41.75,41.73,50.75,4.0
Average generation,LR,46.15,44.35,45.33,45.31,42.0
Average generation,SVM,66.15,60.21,59.67,61.78,48.0
Average generation,KNN,70.77,61.51,69.72,63.39,34.0
Average generation,DT,61.54,58.74,60.17,60.42,55.0
Average generation,RF,64.62,60.63,61.05,61.03,49.0
Average generation,LDA,63.08,38.66,31.54,50.0,0.0
